name,description,brand,category,pack_size,price,mrp,sku,requires_rx,inventory_count,manufacturer,weight,tags,symptoms,uses,image_url
"Paracetamol 500mg","Fast relief from fever and mild to moderate pain","Crocin","Medicines","10 tablets",45,55,"CRO-001",false,500,"GSK","50g","fever,pain,headache,tablet","fever,headache,body ache,cold","Pain relief and fever reduction","https://via.placeholder.com/300x300/4CAF50/FFFFFF?text=Paracetamol"
"Ibuprofen 400mg","Anti-inflammatory pain relief","Brufen","Medicines","20 tablets",75,90,"BRU-002",false,300,"Abbott","80g","pain,inflammation,tablet","muscle pain,arthritis,joint pain","Anti-inflammatory and pain relief","https://via.placeholder.com/300x300/2196F3/FFFFFF?text=Ibuprofen"
"Cough Syrup 100ml","Effective relief from dry and wet cough","Benadryl","Medicines","100ml bottle",75,85,"BEN-003",false,150,"Johnson & Johnson","120g","cough,cold,syrup","dry cough,wet cough,throat irritation","Cough suppression and throat relief","https://via.placeholder.com/300x300/9C27B0/FFFFFF?text=Cough+Syrup"
"Cetirizine 10mg","Antihistamine for allergy relief","Zyrtec","Medicines","10 tablets",65,80,"ZYR-004",false,200,"UCB","25g","allergy,antihistamine,tablet","runny nose,sneezing,skin rash","Allergy and cold symptoms relief","https://via.placeholder.com/300x300/FF9800/FFFFFF?text=Cetirizine"
"Omeprazole 20mg","Proton pump inhibitor for acidity","Prilosec","Medicines","14 capsules",120,150,"PRI-005",false,180,"Procter & Gamble","35g","acidity,heartburn,capsule","acidity,heartburn,stomach pain","Acid reflux and stomach ulcer treatment","https://via.placeholder.com/300x300/E91E63/FFFFFF?text=Omeprazole"
"Vitamin D3 60000 IU","High strength Vitamin D supplement","Calcirol","Health & Nutrition","4 sachets",180,220,"CAL-006",false,200,"Cadila Healthcare","25g","vitamin,supplement,bone","bone pain,weakness,fatigue","Bone health and immunity support","https://via.placeholder.com/300x300/FF9800/FFFFFF?text=Vitamin+D3"
"Multivitamin Tablets","Daily essential vitamins and minerals","Revital","Health & Nutrition","30 tablets",250,320,"REV-007",false,180,"Ranbaxy","150g","multivitamin,daily,health","fatigue,weakness,low immunity","Daily nutritional supplement","https://via.placeholder.com/300x300/9C27B0/FFFFFF?text=Multivitamin"
"Protein Powder 1kg","Whey protein for muscle building","Optimum Nutrition","Health & Nutrition","1kg container",2800,3200,"OPT-008",false,60,"Optimum Nutrition","1.05kg","protein,whey,muscle,fitness","muscle weakness,low protein","Muscle building and recovery","https://via.placeholder.com/300x300/4CAF50/FFFFFF?text=Protein"
"Calcium + Vitamin D","Bone health supplement","Shelcal","Health & Nutrition","30 tablets",140,170,"SHE-009",false,220,"Torrent Pharmaceuticals","90g","calcium,bone,vitamin d","bone pain,osteoporosis,weakness","Bone strengthening and calcium deficiency","https://via.placeholder.com/300x300/795548/FFFFFF?text=Calcium"
"Iron Tablets","Iron supplement for anemia","Ferrous Sulfate","Health & Nutrition","100 tablets",85,105,"FER-010",false,150,"Generic","120g","iron,anemia,supplement","fatigue,pale skin,weakness","Iron deficiency anemia treatment","https://via.placeholder.com/300x300/607D8B/FFFFFF?text=Iron"
"Antiseptic Cream 30g","Prevents infection in minor cuts","Savlon","Personal Care","30g tube",35,42,"SAV-011",false,300,"ITC","35g","antiseptic,wound,care","cuts,wounds,skin infection","Wound care and infection prevention","https://via.placeholder.com/300x300/E91E63/FFFFFF?text=Antiseptic"
