name,category,brand,pack_size,mrp,selling_price,image_url,requires_prescription,description
Paracetamol 500mg,Pain Relief,Generic,10 Tablets,25.00,22.50,,false,Effective pain relief medication
Ibuprofen 400mg,Pain Relief,Generic,10 Tablets,35.00,32.00,,false,Anti-inflammatory pain reliever
Amoxicillin 500mg,Antibiotics,Cipla,10 Capsules,120.00,108.00,,true,Antibiotic for bacterial infections
Cetirizine 10mg,Allergy,Sun Pharma,10 Tablets,15.00,13.50,,false,Antihistamine for allergies
Vitamin D3 1000IU,Vitamins,HealthKart,60 Capsules,450.00,399.00,,false,Essential vitamin supplement
Multivitamin,Vitamins,Revital,30 Tablets,299.00,269.00,,false,Daily nutritional supplement
Crocin 650mg,Fever,GSK,15 Tablets,28.00,25.20,,false,Fever and pain relief
Dolo 650mg,Fever,Micro Labs,15 Tablets,30.00,27.00,,false,Paracetamol for fever
Azithromycin 500mg,Antibiotics,Cipla,3 Tablets,85.00,76.50,,true,Macrolide antibiotic
Omeprazole 20mg,Acidity,Dr Reddy's,10 Capsules,45.00,40.50,,false,Proton pump inhibitor for acidity
