name,category,brand,pack_size,price,mrp,description,requires_rx,image_url,composition,uses,side_effects
Paracetamol 500mg,Prescription Medicines,Cipla,10 tablets,25,30,Pain relief and fever reducer,true,/api/placeholder/200/200,Paracetamol 500mg,Fever and mild to moderate pain relief,Nausea; skin rash
Vitamin D3 Tablets,Health Supplements,HealthKart,60 tablets,180,200,Essential vitamin for bone health,false,/api/placeholder/200/200,Cholecalciferol 1000 IU,Bone health and immunity,Hypercalcemia with high doses
Hand Sanitizer 500ml,Personal Care,Dettol,500ml bottle,120,150,70% alcohol-based sanitizer,false,/api/placeholder/200/200,Ethyl Alcohol 70%,Hand disinfection,Skin dryness
Digital Thermometer,Medical Devices,Omron,1 piece,450,500,Accurate body temperature measurement,false,/api/placeholder/200/200,Digital sensor technology,Body temperature monitoring,None reported
Crocin Advance,Prescription Medicines,GSK,20 tablets,45,50,Fast acting paracetamol,true,/api/placeholder/200/200,Paracetamol 500mg with Optizorb,Headache and body pain,Liver damage with overdose
Protein Powder Chocolate,Health Supplements,Optimum Nutrition,2.27kg container,3200,3500,Whey protein isolate,false,/api/placeholder/200/200,Whey Protein Isolate,Muscle building and recovery,Digestive discomfort in lactose intolerant
Baby Lotion,Baby Care,Johnson's,300ml bottle,180,200,Gentle moisturizing lotion,false,/api/placeholder/200/200,Gentle moisturizers,Baby skin care,None reported
Insulin Pen,Prescription Medicines,Novo Nordisk,1 pen + 5 needles,850,900,Diabetes management insulin pen,true,/api/placeholder/200/200,Insulin glargine,Type 1 and Type 2 diabetes,Hypoglycemia; injection site reactions
Face Mask KN95,Personal Care,3M,Pack of 10,250,300,N95 equivalent protection,false,/api/placeholder/200/200,Multi-layer filtration,Respiratory protection,Skin irritation with prolonged use
Calcium Tablets,Health Supplements,Shelcal,30 tablets,75,85,Bone health supplement,false,/api/placeholder/200/200,Calcium Carbonate 500mg,Bone and teeth health,Constipation; kidney stones with excess
Bandage Roll,Medical Devices,Johnson & Johnson,5m roll,35,40,Medical cotton bandage,false,/api/placeholder/200/200,Cotton gauze,Wound dressing,Skin irritation if too tight
Cough Syrup,OTC Medicines,Benadryl,100ml bottle,85,95,Relief from dry cough,false,/api/placeholder/200/200,Dextromethorphan,Dry cough relief,Drowsiness; nausea
Blood Pressure Monitor,Medical Devices,Omron,1 unit,2200,2500,Digital BP measurement,false,/api/placeholder/200/200,Digital pressure sensor,Blood pressure monitoring,None reported
Antiseptic Liquid,Personal Care,Dettol,550ml bottle,95,110,Wound cleaning antiseptic,false,/api/placeholder/200/200,Chloroxylenol,Wound disinfection,Skin irritation
Multivitamin Tablets,Health Supplements,Centrum,100 tablets,450,500,Daily vitamin supplement,false,/api/placeholder/200/200,Multiple vitamins and minerals,Overall health support,Upset stomach if taken on empty stomach
Glucose Powder,Health Supplements,Glucon-D,500g pack,180,200,Instant energy drink,false,/api/placeholder/200/200,Glucose; Vitamin C,Energy boost,None in normal doses
Inhaler Pump,Prescription Medicines,Cipla,200 doses,320,350,Asthma relief inhaler,true,/api/placeholder/200/200,Salbutamol 100mcg,Asthma and COPD,Tremors; rapid heartbeat
Cotton Swabs,Medical Devices,Johnson's,100 pieces,45,50,Medical cotton buds,false,/api/placeholder/200/200,100% cotton tips,Ear and wound cleaning,Ear damage if inserted too deep
Antacid Tablets,OTC Medicines,ENO,30 sachets,120,135,Acidity and gas relief,false,/api/placeholder/200/200,Sodium bicarbonate,Acidity relief,Bloating with overuse
Iron Tablets,Health Supplements,Feroglobin,30 capsules,195,220,Iron deficiency treatment,false,/api/placeholder/200/200,Ferrous fumarate,Iron deficiency anemia,Constipation; stomach upset
